T_cell,ILC,B_cell,myeloid,other_lung_non_leukocyte
CD28,GZMA,CD79A,FCER1A,SCGB1A1
CD3D,GZMB,CD79B,MS4A2,SFTPA1
CD3E,GZMH,CR2,HDC,SFTPA2
CD3G,GZMK,SDC1,SIRPA,CSPG4
CD4,GZMM,IGHG1,FUT4,MCAM
CD40LG,KIR2DL1,IGHG2,SIGLEC8,NES
CD8A,KIR2DL3,IGHA1,IL3RA,ACTA1
CD8B,KIR3DL1,IGHA2,CCR3,ACTA2
EOMES,KIR3DL2,IGHD,ENPP3,CDH5
FOXP3,KIR3DL3,IGHM,SIGLEC5,CALD1
GZMA,KLRB2,IGHE,HLA-DMA,CNN1
GZMB,NCAM1,IGHG3,HLA-DMB,HEXIM1
GZMH,TBX21,IGHG4,HLA-DOB,HRH2
GZMK,KIR2DL1,CD19,HLA-DPA1,TAGLN
GZMM,KIR2DL3,,HLA-DPB1,SFTPB
ICOS,KIR2DL4,,HLA-DQA1,SFTPC
IFNG,KIR2DL5A,,HLA-DQB1,SFTPD
CTLA4,KIR2DL5B,,HLA-DRA,SCGB3A1
TBX21,NCR1,,CD14,SCGB3A2
TNF,NCR3,,CD163,ASCC1
TRAC,NCR2,,CD40,P2RX5
TRBC,KLRB1,,,THY1
TRGC1,KLRC1,,,NT5E
TRGC2,KLRC2,,,MYH11
TRDC,KLRD1,,,LRRN4
,KLRF1,,,UPK3B
,KLRG1,,,GRP
,KLRK1,,,
